Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000082074:G73659_5x_BC7_01_18290:scan:83,1,0.97,4,MSV000082074,NoID
-0.99,mzspec:MSV000082971:Urine20_Top10_POS:scan:4452,1,0.97,2,MSV000082971,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_17_T10_POS:scan:5584,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MSV000083526:Urine_StrokeDrugs_17_T10_POS:scan:5584,1,0.97,2,MSV000083526,NoID
0,mzspec:MSV000084900:G73659_5x_BC7_01_18290:scan:83,1,0.97,4,MSV000084900,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_08_T10_POS:scan:5728,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_28_T10_POS:scan:5852,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MSV000083526:Urine_StrokeDrugs_28_T10_POS:scan:5852,1,0.97,2,MSV000083526,NoID
-0.99,mzspec:MSV000081022:Urine_61_Top10_POS:scan:4334,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_20_Top10_POS:scan:4452,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_61_Top10_POS:scan:4334,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_95_Top10_posneg_pos:scan:3204,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_95_Top10_posneg_pos:scan:3204,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_20_Top10_POS:scan:4452,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000082971:Urine61_Top10_POS:scan:4334,1,0.97,2,MSV000082971,NoID
0,mzspec:MSV000081657:G73659_5x_BC7_01_18290:scan:83,1,0.97,4,MSV000081657,NoID
-0.99,mzspec:MSV000082971:Urine_95_Top10_posneg:scan:3204,1,0.97,2,MSV000082971,NoID
-0.99,mzspec:MSV000083526:Urine_StrokeDrugs_08_T10_POS:scan:5728,1,0.97,2,MSV000083526,NoID
-0.99,mzspec:MSV000083540:Urine_95_Top10_posneg:scan:3204,1,0.97,2,MSV000083540,NoID
-0.99,mzspec:MSV000083528:Urine_95_Top10_posneg:scan:3204,1,0.97,2,MSV000083528,NoID
0,mzspec:MSV000083010:G73659_5x_BC7_01_18290:scan:83,1,0.97,4,MSV000083010,NoID
-0.99,mzspec:MSV000081118:Urine_StrokeDrugs_08_T10_POS:scan:5728,1,0.97,2,MSV000081118,NoID
-0.99,mzspec:MSV000081022:Urine_87_fullscan1_pos:scan:3355,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_87_fullscan1_pos:scan:3355,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_91_Top10_POS:scan:4492,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_91_Top10_POS:scan:4492,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000082971:Urine91_Top10_POS:scan:4492,1,0.97,2,MSV000082971,NoID
0,mzspec:MSV000081657:G73659_5x_BC7_01_18290:scan:83,1,0.97,4,MSV000081657,NoID
-0.99,mzspec:MSV000081118:Urine_StrokeDrugs_17_T10_POS:scan:5584,1,0.97,2,MSV000081118,NoID
-0.99,mzspec:MSV000081118:Urine_StrokeDrugs_28_T10_POS:scan:5852,1,0.97,2,MSV000081118,NoID
0,mzspec:MSV000081657:G72656_5x_BE3_01_18314:scan:78,1,0.97,4,MSV000081657,NoID
0,mzspec:MSV000082074:G72656_5x_BE3_01_18314:scan:78,1,0.97,4,MSV000082074,NoID
0,mzspec:MSV000083010:G72656_5x_BE3_01_18314:scan:78,1,0.97,4,MSV000083010,NoID
0,mzspec:MSV000081657:G72656_5x_BE3_01_18314:scan:78,1,0.97,4,MSV000081657,NoID
0,mzspec:MSV000084900:G72656_5x_BE3_01_18314:scan:78,1,0.97,4,MSV000084900,NoID
-0.99,mzspec:MSV000083526:Urine_StrokeDrugs_38_T10_POS:scan:5947,1,0.96,2,MSV000083526,NoID
0,mzspec:MSV000081657:G72656_5x_BE3_01_18314:scan:85,1,0.96,4,MSV000081657,NoID
0,mzspec:MSV000082074:G72656_5x_BE3_01_18314:scan:85,1,0.96,4,MSV000082074,NoID
0,mzspec:MSV000081657:G73659_5x_BC7_01_18290:scan:77,1,0.96,4,MSV000081657,NoID
0,mzspec:MSV000084900:G72656_5x_BE3_01_18314:scan:85,1,0.96,4,MSV000084900,NoID
0.04,mzspec:MSV000080930:Mouse 22 Dorsal skin EtOH RESV POS:scan:298,1,0.96,2,MSV000080930,NoID
-0.99,mzspec:MSV000081118:Urine_StrokeDrugs_53_T10_POS:scan:5696,1,0.96,3,MSV000081118,NoID
0.04,mzspec:MSV000080930:Mouse 23 Dorsal skin EtOH RESV POS:scan:302,1,0.96,2,MSV000080930,NoID
0.04,mzspec:MSV000080930:Mouse 15 Dorsal skin CMC control POS:scan:300,1,0.96,2,MSV000080930,NoID
0.04,mzspec:MSV000080930:Mouse 3 Dorsal skin HO control POS:scan:306,1,0.96,2,MSV000080930,NoID
