Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000084701:Sa_10uL_BF2_01_17043.mzML:scan:1536,1,1,6,MSV000084701,NoID
-1,mzspec:MSV000083689:G84777_RC2_01_35684.mzML:scan:616,1,0.98,5,MSV000083689,NoID
-0.99,mzspec:MSV000083666:GF20.D11_BG12_01_41880.mzML:scan:207,1,0.98,5,MSV000083666,NoID
-1,mzspec:MSV000082969:G85249_BE6_01_37157.mzML:scan:200,1,0.97,4,MSV000082969,NoID
-1,mzspec:MSV000084900:G78993_2x_RA10_01_19106.mzML:scan:199,1,0.97,5,MSV000084900,NoID
-1,mzspec:MSV000083010:G78993_2x_RA10_01_19106.mzML:scan:199,1,0.97,5,MSV000083010,NoID
-1,mzspec:MSV000083689:G85380_RG7_01_35403.mzML:scan:518,1,0.97,6,MSV000083689,NoID
-1,mzspec:MSV000080976:P1_RD5_01_9291.mzML:scan:423,1,0.97,5,MSV000080976,NoID
0,mzspec:MSV000084701:Ca_8uL_GB12_01_17109.mzML:scan:1526,1,0.97,5,MSV000084701,NoID
-1,mzspec:MSV000082074:G78993_2x_RA10_01_19106.mzML:scan:199,1,0.97,5,MSV000082074,NoID
-1.01,mzspec:MSV000080976:P2_RH5_01_9371.mzML:scan:472,1,0.97,5,MSV000080976,NoID
-1,mzspec:MSV000083689:G85256_RF3_01_35385.mzML:scan:482,1,0.97,5,MSV000083689,NoID
-0.99,mzspec:MSV000082074:G86866_1x_RB10_01_23501.mzML:scan:215,1,0.97,5,MSV000082074,NoID
-0.99,mzspec:MSV000083010:G86866_1x_RB10_01_23501.mzML:scan:215,1,0.97,5,MSV000083010,NoID
-0.99,mzspec:MSV000084900:G86866_1x_RB10_01_23501.mzML:scan:215,1,0.97,5,MSV000084900,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_B3_P2-B-3_01_31613.mzML:scan:166,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C12_P2-C-12_01_31648.mzML:scan:154,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H1_P1-H-1_01_31781.mzML:scan:172,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C3_P2-C-3_01_31639.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000083689:G84776_RE7_01_35375.mzML:scan:225,1,0.96,4,MSV000083689,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_B5_P2-B-5_01_31615.mzML:scan:166,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_D3_P1-D-3_01_28761.mzML:scan:126,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_G7_P1-G-7_01_28843.mzML:scan:131,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H2_P1-H-2_01_31782.mzML:scan:166,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_G1_P1-G-1_01_31755.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082074:G86917_1x_BG3_01_26633.mzML:scan:212,1,0.96,4,MSV000082074,NoID
-1,mzspec:MSV000084900:G96230_5x_RH10_01_32501.mzML:scan:254,1,0.96,4,MSV000084900,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_D3_P1-D-3_01_31678.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C8_P2-C-8_01_31644.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000083010:G86917_1x_BG3_01_26633.mzML:scan:212,1,0.96,4,MSV000083010,NoID
0,mzspec:MSV000082969:G85037_GE7_01_36864.mzML:scan:884,1,0.96,4,MSV000082969,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C1_P2-C-1_01_31637.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_G8_P1-G-8_01_31762.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_A3_P2-A-3_01_31587.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082969:G85007_rerun_BA5_01_36743.mzML:scan:278,1,0.96,5,MSV000082969,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_E1_P1-E-1_01_28785.mzML:scan:92,1,0.96,4,MSV000082481,NoID
0,mzspec:MSV000082969:G84863_RG9_01_36968.mzML:scan:847,1,0.96,4,MSV000082969,NoID
0,mzspec:MSV000084680:BG3_BG3_01_13865.mzML:scan:1517,1,0.96,5,MSV000084680,NoID
0,mzspec:MSV000084900:G72723_BA12_01_18647.mzML:scan:975,1,0.96,4,MSV000084900,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B10_P1-B-10_01_31633.mzML:scan:153,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082423:G96227_5x_BG8_01_32552.mzML:scan:257,1,0.96,5,MSV000082423,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B7_P1-B-7_01_31630.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000084900:G79630_1x_rerun_RB10_01_23313.mzML:scan:276,1,0.96,4,MSV000084900,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H5_P1-H-5_01_31785.mzML:scan:172,1,0.96,4,MSV000082481,NoID
-0.98,mzspec:MSV000085071:P1_G10_GF10_01_52917.mzML:scan:208,1,0.96,5,MSV000085071,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H8_P2-H-8_01_31775.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_G5_P1-G-5_01_28841.mzML:scan:131,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_D2_P1-D-2_01_31677.mzML:scan:160,1,0.96,4,MSV000082481,NoID
