Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000087523:18A:scan:2403,1,1,14,MSV000087523,NoID
0,mzspec:MSV000081343:EZ102:scan:2076,1,0.99,13,MSV000081343,NoID
0,mzspec:MSV000081343:EZ38:scan:2047,1,0.99,13,MSV000081343,NoID
0,mzspec:MSV000082049:16_31:scan:2055,1,0.98,13,MSV000082049,NoID
0,mzspec:MSV000081492:dhmc_6_10:scan:2164,1,0.98,13,MSV000081492,NoID
0,mzspec:MSV000081151:HFD_C2_KO4:scan:2131,1,0.98,13,MSV000081151,NoID
0,mzspec:MSV000084753:F21_6:scan:3566,1,0.98,12,MSV000084753,NoID
0,mzspec:MSV000082049:3_32:scan:2086,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000086131:Sample-2A1:scan:2642,1,0.97,11,MSV000086131,NoID
0,mzspec:MSV000081343:EZ31:scan:2041,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000081343:EZ454:scan:2085,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000081351:38717:scan:2290,1,0.97,12,MSV000081351,NoID
0,mzspec:MSV000082049:24_34:scan:2104,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000081343:EZ325:scan:2048,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000086131:Food-310518-12:scan:2688,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-8:scan:2586,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Sample-2E5:scan:2606,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-9-test-310518:scan:2586,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000087523:18A:scan:2363,1,0.96,12,MSV000087523,NoID
0,mzspec:MSV000081343:EZ460:scan:2067,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000086131:Food-310518-36:scan:2592,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-7:scan:2592,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000081343:ms_ileum_8d_exp2_a1GOOD:scan:2088,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000081343:EZ318:scan:2076,1,0.96,12,MSV000081343,NoID
