Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000087523:18A.mzML:scan:2403,1,1,14,MSV000087523,NoID
0,mzspec:MSV000081343:EZ102.mzXML:scan:2076,1,0.99,13,MSV000081343,NoID
0,mzspec:MSV000081343:EZ38.mzXML:scan:2047,1,0.99,13,MSV000081343,NoID
0,mzspec:MSV000082049:16_31.mzML:scan:2055,1,0.98,13,MSV000082049,NoID
0,mzspec:MSV000081492:dhmc_6_10.mzML:scan:2164,1,0.98,13,MSV000081492,NoID
0,mzspec:MSV000081151:HFD_C2_KO4.mzXML:scan:2131,1,0.98,13,MSV000081151,NoID
0,mzspec:MSV000084753:F21_6.mzML:scan:3566,1,0.98,12,MSV000084753,NoID
0,mzspec:MSV000082049:3_32.mzML:scan:2086,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000086131:Sample-2A1.mzML:scan:2642,1,0.97,11,MSV000086131,NoID
0,mzspec:MSV000081343:EZ31.mzXML:scan:2041,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000081343:EZ454.mzXML:scan:2085,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000081351:38717.mzXML:scan:2290,1,0.97,12,MSV000081351,NoID
0,mzspec:MSV000082049:24_34.mzML:scan:2104,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000081343:EZ325.mzXML:scan:2048,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000086131:Food-310518-12.mzML:scan:2688,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-8.mzML:scan:2586,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Sample-2E5.mzML:scan:2606,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-9-test-310518.mzML:scan:2586,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000087523:18A.mzML:scan:2363,1,0.96,12,MSV000087523,NoID
0,mzspec:MSV000081343:EZ460.mzXML:scan:2067,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000086131:Food-310518-36.mzML:scan:2592,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-7.mzML:scan:2592,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000081343:ms_ileum_8d_exp2_a1GOOD.mzXML:scan:2088,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000081343:EZ318.mzXML:scan:2076,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000081343:EZ37.mzXML:scan:2062,1,0.96,11,MSV000081343,NoID
0,mzspec:MSV000081343:EZ253.mzXML:scan:2066,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000084753:F49_1.mzML:scan:3624,1,0.96,12,MSV000084753,NoID
0,mzspec:MSV000081343:EZ521.mzXML:scan:2088,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000082049:23_34.mzML:scan:2073,1,0.96,12,MSV000082049,NoID
0,mzspec:MSV000086131:Food-310518-11.mzML:scan:2672,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-30.mzML:scan:2670,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-23.mzML:scan:2576,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000081343:EZ321.mzXML:scan:2058,1,0.96,11,MSV000081343,NoID
0,mzspec:MSV000086131:Food-310518-22.mzML:scan:2676,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-26.mzML:scan:2670,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000080629:98.mzXML:scan:2042,1,0.95,13,MSV000080629,NoID
0,mzspec:MSV000086131:Food-310518-3.mzML:scan:2653,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000082608:81880.mzML:scan:2079,1,0.95,11,MSV000082608,NoID
0,mzspec:MSV000081343:EZ735.mzXML:scan:2072,1,0.95,11,MSV000081343,NoID
0,mzspec:MSV000081351:38977.mzXML:scan:2254,1,0.95,11,MSV000081351,NoID
0,mzspec:MSV000081343:EZ451.mzXML:scan:2055,1,0.95,10,MSV000081343,NoID
0,mzspec:MSV000086131:Food-310518-35.mzML:scan:2665,1,0.95,10,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-2.mzML:scan:2585,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000086131:Food-310518-32.mzML:scan:2586,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000081343:EZ109.mzXML:scan:2044,1,0.95,11,MSV000081343,NoID
0,mzspec:MSV000086131:Sample-2F1.mzML:scan:2605,1,0.95,10,MSV000086131,NoID
0,mzspec:MSV000081343:EZ323.mzXML:scan:2045,1,0.95,12,MSV000081343,NoID
0,mzspec:MSV000081343:EZ33.mzXML:scan:2048,1,0.95,11,MSV000081343,NoID
0,mzspec:MSV000081343:EZ106.mzXML:scan:2046,1,0.95,11,MSV000081343,NoID
