Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
-0.99,mzspec:MSV000084900:G87379_RA3_01_26068.mzML:scan:50,1,0.98,3,MSV000084900,NoID
-0.99,mzspec:MSV000082069:G87379_RA3_01_26068.mzML:scan:50,1,0.98,3,MSV000082069,NoID
-0.99,mzspec:MSV000081022:Urine_95_Top10_posneg_pos.mzXML:scan:3204,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000083540:Urine_95_Top10_posneg.mzML:scan:3204,1,0.97,2,MSV000083540,NoID
-0.99,mzspec:MSV000082971:Urine20_Top10_POS.mzML:scan:4452,1,0.97,2,MSV000082971,NoID
-0.99,mzspec:MSV000082971:Urine61_Top10_POS.mzML:scan:4334,1,0.97,2,MSV000082971,NoID
-0.99,mzspec:MSV000082971:Urine_95_Top10_posneg.mzML:scan:3204,1,0.97,2,MSV000082971,NoID
-0.99,mzspec:MSV000081022:Urine_91_Top10_POS.mzXML:scan:4492,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_87_fullscan1_pos.mzXML:scan:3355,1,0.97,2,MSV000081022,NoID
0,mzspec:MSV000082074:G73659_5x_BC7_01_18290.mzML:scan:83,1,0.97,4,MSV000082074,NoID
-0.99,mzspec:MSV000082971:Urine91_Top10_POS.mzML:scan:4492,1,0.97,2,MSV000082971,NoID
-1,mzspec:MSV000082069:Solvent_Blank_1_RA1_01_26066.mzML:scan:567,1,0.97,2,MSV000082069,NoID
0,mzspec:MSV000082074:G72656_5x_BE3_01_18314.mzML:scan:78,1,0.97,4,MSV000082074,NoID
0,mzspec:MSV000083010:G73659_5x_BC7_01_18290.mzML:scan:83,1,0.97,4,MSV000083010,NoID
-0.99,mzspec:MSV000084900:G86819_1x_RB12_01_23278.mzML:scan:144,1,0.97,2,MSV000084900,NoID
-0.99,mzspec:MSV000084900:G87390_RF4_01_26177.mzML:scan:156,1,0.97,2,MSV000084900,NoID
0,mzspec:MSV000084900:G72656_5x_BE3_01_18314.mzML:scan:78,1,0.97,4,MSV000084900,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_28_T10_POS.mzML:scan:5852,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_08_T10_POS.mzML:scan:5728,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MSV000081022:Urine_61_Top10_POS.mzXML:scan:4334,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000082069:G87390_RF4_01_26177.mzML:scan:156,1,0.97,2,MSV000082069,NoID
-0.99,mzspec:MSV000081022:Urine_20_Top10_POS.mzXML:scan:4452,1,0.97,2,MSV000081022,NoID
-1,mzspec:MSV000084900:G87341_RF9_01_26183.mzML:scan:762,1,0.97,2,MSV000084900,NoID
-0.99,mzspec:MSV000082423:G96259_5x_RB3_01_32331.mzML:scan:779,1,0.97,2,MSV000082423,NoID
-1,mzspec:MSV000082069:G87387_RE12_01_26171.mzML:scan:162,1,0.97,2,MSV000082069,NoID
-0.99,mzspec:MSV000084900:G96259_5x_RB3_01_32331.mzML:scan:779,1,0.97,2,MSV000084900,NoID
-1,mzspec:MSV000084900:G87387_RE12_01_26171.mzML:scan:162,1,0.97,2,MSV000084900,NoID
0,mzspec:MSV000084900:G73659_5x_BC7_01_18290.mzML:scan:83,1,0.97,4,MSV000084900,NoID
-1,mzspec:MSV000082069:G87341_RF9_01_26183.mzML:scan:762,1,0.97,2,MSV000082069,NoID
0,mzspec:MSV000083010:G72656_5x_BE3_01_18314.mzML:scan:78,1,0.97,4,MSV000083010,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_17_T10_POS.mzML:scan:5584,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MSV000083010:G86819_1x_RB12_01_23278.mzML:scan:144,1,0.97,2,MSV000083010,NoID
-0.99,mzspec:MSV000082074:G86819_1x_RB12_01_23278.mzML:scan:144,1,0.97,2,MSV000082074,NoID
0,mzspec:MSV000084900:G72656_5x_BE3_01_18314.mzML:scan:85,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000083010:G73649_5x_BA8_01_18263.mzML:scan:84,1,0.96,4,MSV000083010,NoID
0,mzspec:MSV000083010:G72668_5x_BH6_01_18404.mzML:scan:78,1,0.96,4,MSV000083010,NoID
0,mzspec:MSV000082074:G72668_5x_BH6_01_18404.mzML:scan:78,1,0.96,4,MSV000082074,NoID
0,mzspec:MSV000082074:G72656_5x_BE3_01_18314.mzML:scan:85,1,0.96,4,MSV000082074,NoID
0,mzspec:MSV000083010:G72656_5x_BE3_01_18314.mzML:scan:85,1,0.96,4,MSV000083010,NoID
0.01,mzspec:MSV000084900:G87392_RF6_01_26179.mzML:scan:731,1,0.96,2,MSV000084900,NoID
0.01,mzspec:MSV000082069:G87392_RF6_01_26179.mzML:scan:731,1,0.96,2,MSV000082069,NoID
-0.99,mzspec:MSV000082388:Solvent_Blank_11_BC1_01_32054.mzML:scan:42,1,0.96,4,MSV000082388,NoID
-1,mzspec:MSV000084900:G87341_RF9_01_26183.mzML:scan:883,1,0.96,2,MSV000084900,NoID
0,mzspec:MSV000084900:G72668_5x_BH6_01_18404.mzML:scan:78,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000083010:G86734_1x_BD7_01_23172.mzML:scan:81,1,0.96,4,MSV000083010,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_53_T10_POS.mzML:scan:5696,1,0.96,3,MSV000083538,NoID
-0.99,mzspec:MSV000084900:G87341_RF9_01_26183.mzML:scan:1103,1,0.96,2,MSV000084900,NoID
-0.99,mzspec:MSV000082069:G87323_RB5_01_26085.mzML:scan:47,1,0.96,2,MSV000082069,NoID
-0.99,mzspec:MSV000082069:G87341_RF9_01_26183.mzML:scan:1103,1,0.96,2,MSV000082069,NoID
0,mzspec:MSV000084900:G86734_1x_BD7_01_23172.mzML:scan:81,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000082074:G86734_1x_BD7_01_23172.mzML:scan:81,1,0.96,4,MSV000082074,NoID
0,mzspec:MSV000084900:G86807_1x_BF8_01_23204.mzML:scan:77,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000084900:G73649_5x_BA8_01_18263.mzML:scan:84,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000082074:G86807_1x_BF8_01_23204.mzML:scan:77,1,0.96,4,MSV000082074,NoID
0,mzspec:MSV000083010:G86807_1x_BF8_01_23204.mzML:scan:77,1,0.96,4,MSV000083010,NoID
0,mzspec:MSV000084900:G73659_5x_BC7_01_18290.mzML:scan:77,1,0.96,4,MSV000084900,NoID
-0.99,mzspec:MSV000084900:G87323_RB5_01_26085.mzML:scan:47,1,0.96,2,MSV000084900,NoID
0,mzspec:MSV000082074:G73659_5x_BC7_01_18290.mzML:scan:77,1,0.96,4,MSV000082074,NoID
0,mzspec:MSV000083010:G73659_5x_BC7_01_18290.mzML:scan:77,1,0.96,4,MSV000083010,NoID
-1,mzspec:MSV000082069:G87341_RF9_01_26183.mzML:scan:883,1,0.96,2,MSV000082069,NoID
0,mzspec:MSV000082074:G73649_5x_BA8_01_18263.mzML:scan:84,1,0.96,4,MSV000082074,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_38_T10_POS.mzML:scan:5947,1,0.96,2,MSV000083538,NoID
-0.99,mzspec:MSV000081022:Urine_14_Top10_posneg_pos.mzXML:scan:3251,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000082971:Pooled_Urine_5_posneg_b.mzML:scan:3226,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000081022:Urine_66_Top10_posneg_pos.mzXML:scan:3221,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_08_T10_POS.mzML:scan:5845,1,0.95,3,MSV000083538,NoID
0.01,mzspec:MSV000083010:G79551_p14_h10_GB4_01_21640.mzML:scan:754,1,0.95,2,MSV000083010,NoID
0.01,mzspec:MSV000082074:G79551_p14_h10_GB4_01_21640.mzML:scan:754,1,0.95,2,MSV000082074,NoID
0.01,mzspec:MSV000084900:G79551_p14_h10_GB4_01_21640.mzML:scan:754,1,0.95,2,MSV000084900,NoID
-0.99,mzspec:MSV000083538:Pooled_Urine_StrokeDrugs_24_POS.mzML:scan:5627,1,0.95,3,MSV000083538,NoID
-0.99,mzspec:MSV000081022:Urine_88_Top10_posneg_pos.mzXML:scan:3310,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_87_Top10_POS.mzXML:scan:4516,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_02_T10_POS.mzML:scan:5790,1,0.95,3,MSV000083538,NoID
-0.99,mzspec:MSV000082971:Urine_101_Top10_posneg.mzML:scan:3210,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000082971:Urine_23_Top10_posneg.mzML:scan:3249,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000083540:Urine_23_Top10_posneg.mzML:scan:3249,1,0.95,3,MSV000083540,NoID
-0.99,mzspec:MSV000083540:Urine_101_Top10_posneg.mzML:scan:3210,1,0.95,3,MSV000083540,NoID
0,mzspec:MSV000082069:G87337_RC10_01_26106.mzML:scan:73,1,0.95,3,MSV000082069,NoID
0,mzspec:MSV000084900:G87337_RC10_01_26106.mzML:scan:73,1,0.95,3,MSV000084900,NoID
-0.99,mzspec:MSV000083540:Pooled_Urine_5_posneg_b.mzML:scan:3226,1,0.95,3,MSV000083540,NoID
-0.99,mzspec:MSV000081022:Urine_19_Top10_POS.mzXML:scan:4436,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_20_Top10_posneg_pos.mzXML:scan:3270,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_23_Top10_posneg_pos.mzXML:scan:3249,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000081022:Urine_101_Top10_posneg_pos.mzXML:scan:3210,1,0.95,3,MSV000081022,NoID
1.04,mzspec:MSV000085120:BAX1134_2x_GA2_01_24940.mzML:scan:441,1,0.95,2,MSV000085120,NoID
-0.99,mzspec:MSV000083540:Urine_20_Top10_posneg.mzML:scan:3270,1,0.95,3,MSV000083540,NoID
-0.99,mzspec:MSV000082971:Urine_88_Top10_posneg.mzML:scan:3310,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000083540:Urine_88_Top10_posneg.mzML:scan:3310,1,0.95,3,MSV000083540,NoID
-0.99,mzspec:MSV000082971:Urine_14_Top10_posneg.mzML:scan:3251,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_18_T10_POS.mzML:scan:5827,1,0.95,2,MSV000083538,NoID
-0.99,mzspec:MSV000082971:Urine19_Top10_POS.mzML:scan:4436,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000083540:Urine_74_Top10_posneg.mzML:scan:3276,1,0.95,3,MSV000083540,NoID
-0.99,mzspec:MSV000083538:Urine_StrokeDrugs_51_T10_POS.mzML:scan:5838,1,0.95,3,MSV000083538,NoID
-0.99,mzspec:MSV000083540:Urine_66_Top10_posneg.mzML:scan:3221,1,0.95,3,MSV000083540,NoID
-1,mzspec:MSV000083540:Urine_22_Top10_posneg.mzML:scan:3150,1,0.95,3,MSV000083540,NoID
-0.99,mzspec:MSV000081022:Urine_74_Top10_posneg_pos.mzXML:scan:3276,1,0.95,3,MSV000081022,NoID
-0.99,mzspec:MSV000082971:Urine_74_Top10_posneg.mzML:scan:3276,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000083540:Urine_14_Top10_posneg.mzML:scan:3251,1,0.95,3,MSV000083540,NoID
-0.99,mzspec:MSV000082971:Urine_66_Top10_posneg.mzML:scan:3221,1,0.95,3,MSV000082971,NoID
-0.99,mzspec:MSV000082971:Urine_20_Top10_posneg.mzML:scan:3270,1,0.95,3,MSV000082971,NoID
-1,mzspec:MSV000081022:Urine_22_Top10_posneg_pos.mzXML:scan:3150,1,0.95,3,MSV000081022,NoID
-1,mzspec:MSV000082971:Urine_22_Top10_posneg.mzML:scan:3150,1,0.95,3,MSV000082971,NoID
-1,mzspec:MSV000081463:J4_1_Endocarp_3_G_A7.mzML:scan:171,1,0.95,2,MSV000081463,NoID
-0.99,mzspec:MSV000081022:Urine_64_Top10_POS.mzXML:scan:4138,1,0.94,3,MSV000081022,NoID
-0.99,mzspec:MSV000082423:G96367_5x_RF4_01_32444.mzML:scan:45,1,0.94,4,MSV000082423,NoID
-0.99,mzspec:MSV000082069:G87348_RD5_01_26115.mzML:scan:49,1,0.94,3,MSV000082069,NoID
0,mzspec:MSV000083010:G86807_1x_BF8_01_23204.mzML:scan:84,1,0.94,3,MSV000083010,NoID
0,mzspec:MSV000082074:G86807_1x_BF8_01_23204.mzML:scan:84,1,0.94,3,MSV000082074,NoID
0,mzspec:MSV000084900:G86807_1x_BF8_01_23204.mzML:scan:84,1,0.94,3,MSV000084900,NoID
-0.99,mzspec:MSV000082423:G96362_5x_RD5_01_32644.mzML:scan:43,1,0.94,4,MSV000082423,NoID
-0.99,mzspec:MSV000084900:G96362_5x_RD5_01_32644.mzML:scan:43,1,0.94,4,MSV000084900,NoID
-1,mzspec:MSV000083540:Urine_84_Top10_posneg.mzML:scan:3190,1,0.94,3,MSV000083540,NoID
-0.05,mzspec:MSV000086131:Sample-2F1.mzML:scan:421,1,0.94,4,MSV000086131,NoID
-1,mzspec:MSV000081022:Urine_84_Top10_posneg_pos.mzXML:scan:3190,1,0.94,3,MSV000081022,NoID
0.01,mzspec:MSV000084900:G78939_BD8_01_18689.mzML:scan:747,1,0.94,2,MSV000084900,NoID
-0.99,mzspec:MSV000084900:G96367_5x_RF4_01_32444.mzML:scan:45,1,0.94,4,MSV000084900,NoID
-0.99,mzspec:MSV000088255:Urine_NGS106_FragPos.mzML:scan:5137,1,0.94,4,MSV000088255,NoID
0.01,mzspec:MSV000082074:G78939_BD8_01_18689.mzML:scan:747,1,0.94,2,MSV000082074,NoID
0,mzspec:MSV000083010:G73649_5x_BA8_01_18263.mzML:scan:77,1,0.94,3,MSV000083010,NoID
0.05,mzspec:MSV000084900:G79597_1x_BB3_01_17983.mzML:scan:200,1,0.94,3,MSV000084900,NoID
0,mzspec:MSV000082074:G73649_5x_BA8_01_18263.mzML:scan:77,1,0.94,3,MSV000082074,NoID
0.05,mzspec:MSV000082074:G79597_1x_BB3_01_17983.mzML:scan:200,1,0.94,3,MSV000082074,NoID
0.01,mzspec:MSV000083010:G78939_BD8_01_18689.mzML:scan:747,1,0.94,2,MSV000083010,NoID
0.05,mzspec:MSV000083010:G79597_1x_BB3_01_17983.mzML:scan:200,1,0.94,3,MSV000083010,NoID
0,mzspec:MSV000084900:G73649_5x_BA8_01_18263.mzML:scan:77,1,0.94,3,MSV000084900,NoID
-0.99,mzspec:MSV000082971:Urine_64_Top10_POS.mzML:scan:4138,1,0.94,3,MSV000082971,NoID
-1,mzspec:MSV000082971:Urine_84_Top10_posneg.mzML:scan:3190,1,0.94,3,MSV000082971,NoID
-0.99,mzspec:MSV000084900:G87348_RD5_01_26115.mzML:scan:49,1,0.94,3,MSV000084900,NoID
-0.99,mzspec:MSV000083010:G79677_5x_RE11_01_19530.mzML:scan:46,1,0.93,4,MSV000083010,NoID
-0.99,mzspec:MSV000082074:G79677_5x_RE11_01_19530.mzML:scan:46,1,0.93,4,MSV000082074,NoID
